,0,1,2,3
0,-1.4412065,0.68611723,0.49400753,-1.6491544
1,1.3235209,1.2427334,-1.135073,-2.0315359
2,0.7460129,-1.2210567,2.688775,0.31389177
3,0.47268027,1.3389723,-0.04461606,0.40562215
4,-2.4687662,0.22627869,2.8250449,1.9466283
5,-0.56021595,-1.6943995,2.2376475,2.1920598
6,0.7661103,0.9665754,-1.2227683,1.0688715
7,0.609413,-0.11841451,0.15782605,0.36321223
8,0.14500344,0.76472133,-0.041239336,-1.4150269
9,-0.06272477,0.36155158,0.6969237,-0.9674108
10,0.058805466,1.0389657,1.0052729,-1.2710798
11,-0.35519028,-0.18083273,-0.02153778,-0.35834277
12,-0.5632207,-0.30650258,-0.8526936,-1.4297681
13,1.4758795,-0.849241,-0.58464205,0.43394053
14,-0.52523685,-2.0437863,1.4922822,2.0201697
15,0.236301,0.44126394,1.3038325,0.5036187
16,-0.4504302,2.8939638,-0.40034634,-0.5617404
17,0.47683352,-1.0659163,2.2380447,0.31638575
18,-1.1700449,-0.7058724,0.04216528,0.015891045
19,-1.862174,-1.2296065,2.3476832,3.3200836
20,1.5225925,-0.37307143,0.06174113,0.88489306
21,1.3266215,-1.8784283,-1.173199,0.61988676
22,-0.1459611,0.5300369,-0.5540117,-1.2457912
23,-0.4791684,-0.5748719,1.1045718,-0.97722745
24,0.98670644,0.43230438,0.28306562,1.001838
25,0.10943839,1.0082504,-0.6149149,-2.4117608
26,0.73649454,-1.1866112,-0.2996424,0.49627295
27,0.26533508,1.031948,0.94933265,3.897253
